Hospital Name,State
Ballinger Memorial Hospital District,Texas
Big Bend Regional Medical Center,Texas
Bowie Memorial Hospital,Texas
Brownfield Regional Medical Center,Texas
Childress Regional Medical Center,Texas
Clay County Memorial Hospital,Texas
Cochran Memorial Hospital,Texas
Coleman County Medical Center,Texas
Collingsworth General Hospital,Texas
Comanche County Medical Center,Texas
Concho County Hospital,Texas
Coon Memorial Hospital,Texas
Crane Memorial Hospital,Texas
Crosbyton Clinic Hospital,Texas
Culberson Hospital,Texas
D M Cogdell Memorial Hospital,Texas
Dimmit County Memorial Hospital,Texas
Eastland Memorial Hospital,Texas
El Campo Memorial Hospital,Texas
Falls Community Hospital,Texas
Fisher County Hospital District,Texas
Golden Plains Community Hospital,Texas
Graham Regional Medical Center,Texas
Hamilton General Hospital,Texas
Hamilton Hospital,Texas
Hansford County Hospital,Texas
Hardeman County Memorial Hospital,Texas
Haskell Memorial Hospital,Texas
Heart of Texas Memorial Hospital,Texas
Hemphill County Hospital,Texas
Hereford Regional Medical Center,Texas
Hill Country Memorial Hospital,Texas
Hopkins County Memorial Hospital,Texas
Jackson Healthcare Center,Texas
Kimble Hospital,Texas
Knox County Hospital,Texas
Lamb Healthcare Center,Texas
Lavaca Medical Center,Texas
Limestone Medical Center,Texas
Llano Memorial Hospital,Texas
Lynn County Hospital District,Texas
Martin County Hospital District,Texas
Matagorda General Hospital,Texas
McCamey Hospital,Texas
Medical Arts Hospital,Texas
Memorial Hospital — Seminole,Texas
Memorial Hospital — Gonzales,Texas
Memorial Hospital — Dumas,Texas
Memorial Medical Center — Port Lavaca,Texas
Memorial Medical Center — San Augustine,Texas
Mitchell County Hospital,Texas
Muleshoe Area Medical Center,Texas
North Runnels Hospital,Texas
Ochiltree General Hospital,Texas
Otto Kaiser Memorial Hospital,Texas
Palo Pinto General Hospital,Texas
Pampa Regional Medical Center,Texas
Parkview Hospital,Texas
Parmer County Community Hospital,Texas
Pecos County Memorial Hospital,Texas
Permian Regional Medical Center,Texas
Plains Memorial Hospital,Texas
Rankin County Hospital District,Texas
Reagan Memorial Hospital,Texas
Reeves County Hospital,Texas
Refugio County Memorial Hospital District,Texas
Rolling Plains Memorial Hospital,Texas
Sabine County Hospital,Texas
Schleicher County Medical Center,Texas
Seymour Hospital,Texas
Shamrock General Hospital,Texas
Starr County Memorial Hospital,Texas
Stephens Memorial Hospital,Texas
Stonewall Memorial Hospital,Texas
Swisher Memorial Hospital,Texas
Throckmorton County Memorial Hospital,Texas
Tyler County Hospital,Texas
Uvalde Memorial Hospital,Texas
Val Verde Regional Medical Center,Texas
W J Mangold Memorial Hospital,Texas
Ward Memorial Hospital,Texas
Wilbarger General Hospital,Texas
Winkler County Memorial Hospital,Texas
Yoakum County Hospital,Texas
